"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"41057","85.125357","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=224331 Ack=76132 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.012399000","64.266054000"
"41059","85.132758","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4136520 Ack=5277 Win=65535 Len=1448 TSval=790407522 TSecr=284242[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.019985000","85.124737000"
"41060","85.136558","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","mc2studios(1899)  >  35515 [ACK] Seq=211878 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.104170000","64.333471000"
"41061","85.137958","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","60","19898  >  4954 [ACK] Seq=218841 Ack=725026 Win=17520 Len=0","20","Class Selector 2","CS2","","","0.048179000","77.689307000"
"41062","85.148560","c935751f.virtua.com.br","172.31.187.1","TCP","1514","23497  >  4907 [PSH, ACK] Seq=14765 Ack=52 Win=65015 Len=1460","20","Class Selector 2","CS2","","","3.278645000","74.584199000"
"41063","85.156358","dslb-088-074-236-031.088.074.pools.vodafone-ip.de","172.31.187.1","ICMP","70","Destination unreachable (Communication administratively filtered)[Packet size limited during capture]","","Class Selector 2,Class Selector 2","CS2","","","",""
"41064","85.157359","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=225783 Ack=76132 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.031987000","64.298056000"
"41065","85.172958","pc-128-30-161-190.cm.vtr.net","172.31.187.1","TCP","1514","55970  >  4865 [ACK] Seq=265179 Ack=273 Win=64618 Len=1460","20","Class Selector 2","CS2","","","1.754729000","83.739901000"
"41066","85.187361","host223.190-225-39.telecom.net.ar","172.31.187.1","TCP","66","16856  >  35515 [ACK] Seq=117503 Ack=267184 Win=65535 Len=0 SLE=271384 SRE=272784","32","Class Selector 2","CS2","","","0.153373000","27.773876000"
"41069","85.192358","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","[TCP Retransmission] 29890  >  35515 [ACK] Seq=84866 Ack=410727 Win=33120 Len=1440 TSval=980370084 TSecr=284249","32","Class Selector 2","CS2","","","0.070965000","82.399103000"
"41070","85.195159","pc-128-30-161-190.cm.vtr.net","172.31.187.1","TCP","1514","55970  >  4865 [ACK] Seq=266639 Ack=273 Win=64618 Len=1460","20","Class Selector 2","CS2","","","0.022201000","83.762102000"
"41072","85.198358","81.202.1.81.dyn.user.ono.com","172.31.187.1","TCP","74","19027  >  4926 [PSH, ACK] Seq=5707 Ack=386 Win=65535 Len=20","20","Assured Forwarding 21","AF21","","","0.099530000","84.955939000"
"41073","85.202958","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4137968 Ack=5277 Win=65535 Len=1448 TSval=790407522 TSecr=284243[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.070200000","85.194937000"
"41075","85.203959","pc-128-30-161-190.cm.vtr.net","172.31.187.1","TCP","1514","55970  >  4865 [PSH, ACK] Seq=268099 Ack=273 Win=64618 Len=1460","20","Class Selector 2","CS2","","","0.008783000","83.770902000"
"41076","85.224165","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4139416 Ack=5277 Win=65535 Len=1448 TSval=790407522 TSecr=284243[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021191000","85.216144000"
"41077","85.232359","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","[TCP Retransmission] 29890  >  35515 [ACK] Seq=86306 Ack=412167 Win=32400 Len=1440 TSval=980370085 TSecr=284249","32","Class Selector 2","CS2","","","0.040001000","82.439104000"
"41079","85.245760","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4140864 Ack=5277 Win=65535 Len=1448 TSval=790407523 TSecr=284243[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021595000","85.237739000"
"41081","85.252760","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","60","19898  >  4954 [ACK] Seq=218841 Ack=726486 Win=17520 Len=0","20","Class Selector 2","CS2","","","0.114802000","77.804109000"
"41082","85.254559","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","134","29890  >  35515 [ACK] Seq=87746 Ack=417927 Win=32496 Len=68 TSval=980370086 TSecr=284250[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.022178000","82.461304000"
"41086","85.258560","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","66","[TCP Previous segment not captured] 29890  >  35515 [ACK] Seq=90694 Ack=420807 Win=31680 Len=0 TSval=980370087 TSecr=284251","32","Class Selector 2","CS2","","","0.003950000","82.465305000"
